Fecha,Temperatura media (°C),Temperatura máxima (°C),Temperatura mínima (°C),Humedad (%),Precipitación (mm),Índice de calor (°C)
31/8/2021,"27,02","33,00","21,30","77,90","0,00","30,20"
9/1/2021,"24,06","32,20","19,40","85,90","2,00","26,13"
9/2/2021,"26,66","33,20","18,60","74,08","0,00","29,23"
9/3/2021,"26,65","32,40","22,20","78,86","2,20","29,48"
9/4/2021,"21,94","23,30","20,70","95,33","57,40","23,34"
9/5/2021,"24,84","30,90","19,70","83,10","0,00","27,18"
9/6/2021,"26,27","31,70","21,30","78,45","0,00","28,93"
9/7/2021,"25,68","31,20","21,30","83,88","0,00","28,53"
9/8/2021,"24,99","32,30","21,30","84,17","2,80","27,15"
9/9/2021,"25,06","29,90","21,60","86,04","2,60","27,34"
9/10/2021,"21,93","25,20","18,60","94,17","53,60","23,36"
9/11/2021,"26,58","33,40","21,10","72,92","0,00","28,93"
9/12/2021,"25,52","33,70","21,80","77,19","9,00","27,52"
13/9/2021,"24,19","30,80","20,80","86,13","0,00","26,42"
14/9/2021,"23,64","29,20","19,90","85,17","0,00","25,41"
15/9/2021,"25,97","32,10","20,10","80,26","0,00","28,68"
16/9/2021,"26,46","32,90","20,90","76,96","0,00","29,26"
17/9/2021,"27,95","33,90","22,20","70,71","0,00","30,93"
18/9/2021,"24,37","32,60","22,20","83,79","14,20","26,00"
19/9/2021,"22,75","24,40","21,50","94,00","7,00","24,23"
20/9/2021,"21,81","25,90","20,30","92,71","17,20","23,25"
21/9/2021,"23,80","29,20","19,50","85,83","0,00","25,73"
22/9/2021,"23,24","27,90","20,60","88,79","49,60","24,87"
23/9/2021,"25,20","33,10","18,40","78,38","0,00","27,45"
24/9/2021,"27,91","34,40","22,60","67,65","0,00","30,54"
25/9/2021,"26,16","32,20","21,50","80,32","0,00","29,05"
26/9/2021,"25,33","32,60","22,20","84,67","3,20","27,68"
27/9/2021,"24,33","30,90","21,60","89,10","5,80","26,45"
28/9/2021,"25,24","31,60","20,90","83,00","0,00","27,81"
29/9/2021,"27,07","33,70","21,30","74,63","0,00","29,91"
30/9/2021,"28,09","34,90","22,40","76,00","8,80","31,96"
10/1/2021,"26,37","31,80","22,20","85,78","9,00","29,89"
10/2/2021,"25,54","31,20","22,50","86,21","3,60","28,06"
10/3/2021,"23,49","25,80","21,00","94,83","49,40","25,20"
10/4/2021,"24,33","30,60","20,60","86,67","4,40","26,60"
10/5/2021,"26,00","31,80","19,90","83,83","0,00","29,20"
10/6/2021,"27,87","34,80","22,50","74,92","0,00","31,43"
10/7/2021,"24,43","30,20","22,30","90,35","5,60","26,60"
10/8/2021,"26,65","32,70","22,10","82,75","1,20","29,99"
10/9/2021,"26,74","33,60","22,60","80,68","4,80","29,74"
13/10/2021,"28,56","34,40","23,70","72,45","0,00","32,44"
14/10/2021,"28,97","35,20","22,80","73,28","0,40","33,38"
15/10/2021,"24,49","29,60","22,30","89,18","5,80","26,56"
16/10/2021,"26,15","30,80","21,20","81,92","0,00","29,12"
17/10/2021,"26,82","33,60","21,10","76,17","32,80","29,67"
18/10/2021,"25,97","31,90","21,80","86,08","0,20","29,18"
19/10/2021,"24,50","31,30","21,70","89,50","21,60","27,00"
20/10/2021,"25,61","31,10","22,90","87,40","0,00","28,40"
21/10/2021,"25,70","32,40","22,50","86,64","2,40","28,67"
22/10/2021,"26,00","33,10","21,40","82,58","0,00","28,98"
23/10/2021,"27,05","34,10","22,40","83,09","15,40","30,96"
24/10/2021,"24,84","31,90","22,30","91,45","0,40","27,34"
25/10/2021,"24,43","27,20","22,30","89,56","1,60","26,46"
26/10/2021,"24,84","29,80","22,10","89,75","0,00","27,38"
27/10/2021,"24,73","30,20","22,40","88,22","9,60","26,97"
28/10/2021,"24,96","31,20","22,10","88,13","6,60","27,49"
29/10/2021,"23,20","25,40","21,70","94,10","0,00","24,82"
30/10/2021,"25,69","31,80","21,70","86,50","0,00","28,63"
31/10/2021,"24,89","31,90","23,10","89,90","0,20","27,32"
11/1/2021,"26,09","31,80","21,90","86,25","0,00","29,38"
11/2/2021,"25,61","30,40","22,90","89,71","22,40","28,68"
11/3/2021,"25,26","31,20","22,10","88,88","19,80","28,06"
11/4/2021,"25,85","32,10","21,40","83,54","0,00","28,72"
11/5/2021,"26,28","30,90","22,90","85,54","5,00","29,64"
11/6/2021,"27,66","31,40","24,80","84,56","0,80","32,24"
